deductee_pan,deductor_gstin,deductor_name,section,invoice_no,amount_deducted_inr,base_amount_inr,rate_pct,quarter,status
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0000,616.84,30842.29,2.00,Q1 FY2026-27,F
AAACD1234K,06UPHCG1684K2ZA,Pioneer Paints Udyog Pvt Ltd,194C,INV/2026/0004,1921.66,192166.67,1.00,Q1 FY2026-27,F
AAACD1234K,19YTVCK3600M6Z2,Vikram Beverages Distributors Pvt Ltd,194H,INV/2026/0006,31130.34,311303.49,10.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194H,INV/2026/0010,58109.93,2905496.83,2.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194H,INV/2026/0013,1052.66,52633.35,2.00,Q1 FY2026-27,F
AAACD1234K,07ZCGCS0857F7Z2,Om Rubber & Sons,194H,INV/2026/0015,3109.60,62192.08,5.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0017,7787.47,77874.72,10.00,Q1 FY2026-27,F
AAACD1234K,33OQECV0350U8ZM,Vindhya Rubber Agencies,194C,INV/2026/0020,7300.43,365021.97,2.00,Q1 FY2026-27,F
AAACD1234K,29VTGCJ3928E9ZE,Anand Beverages Corporation,194J,INV/2026/0026,39544.15,1977207.87,2.00,Q1 FY2026-27,F
AAACD1234K,33VDCCS4479W3Z2,Raj Foods Industries Pvt Ltd,194H,INV/2026/0027,150324.37,3006487.55,5.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194H,INV/2026/0029,4554.59,227729.68,2.00,Q1 FY2026-27,F
AAACD1234K,06QITCV6370J2ZY,Godavari Pharma Marketing Pvt Ltd,194C,INV/2026/0031,3711.63,185581.85,2.00,Q1 FY2026-27,F
AAACD1234K,06QITCV6370J2ZY,Godavari Pharma Marketing Pvt Ltd,194C,INV/2026/0031,3711.63,185581.85,2.00,Q1 FY2026-27,F
AAACD1234K,07IESCF2385D9ZW,Bharat Electro Enterprises,194C,INV/2026/0033,558.02,27901.06,2.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194Q,INV/2026/0034,182.95,182955.57,0.10,Q1 FY2026-27,F
AAACD1234K,36RCXCZ6126D6ZI,Malabar Pharma Distributors Pvt Ltd,194H,INV/2026/0037,6210.89,124217.86,5.00,Q1 FY2026-27,F
AAACD1234K,23VYVCQ1876S4ZG,Vikram Paper Corporation,194C,INV/2026/0038,11269.50,1126950.03,1.00,Q1 FY2026-27,F
AAACD1234K,29VTGCJ3928E9ZE,Anand Beverages Corporation,194J,INV/2026/0039,1115.36,55768.32,2.00,Q1 FY2026-27,F
AAACD1234K,09MUKCP0933H1ZT,Deccan Rubber Corporation,194Q,INV/2026/0040,278.61,278618.65,0.10,Q1 FY2026-27,F
AAACD1234K,08ZEUCF7828F1ZA,Raj Chem Solutions Pvt Ltd,194J,INV/2026/0041,18320.05,183200.51,10.00,Q1 FY2026-27,F
AAACD1234K,08ZEUCF7828F1ZA,Raj Chem Solutions Pvt Ltd,194J,INV/2026/0041,18320.05,183200.51,10.00,Q1 FY2026-27,F
AAACD1234K,29CDTCP0216T9ZE,Lakshmi Chem Agencies,194C,INV/2026/0042,666.56,33328.46,2.00,Q1 FY2026-27,F
AAACD1234K,29JVWCK5890R2ZQ,Vindhya Electro Trading Co,194H,INV/2026/0046,766.55,38327.85,2.00,Q1 FY2026-27,F
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0053,657053.27,13141065.56,5.00,Q1 FY2026-27,F
AAACD1234K,29ELMCZ6248I8Z5,Anand Optics Udyog Pvt Ltd,194C,INV/2026/0058,3813.21,381321.81,1.00,Q1 FY2026-27,F
AAACD1234K,09MUKCP0933H1ZT,Deccan Rubber Corporation,194Q,INV/2026/0063,4366.39,4366394.44,0.10,Q1 FY2026-27,F
AAACD1234K,06DLCCP8360S4ZL,Hind Steel Impex,194J,INV/2026/0070,29572.75,295727.56,10.00,Q1 FY2026-27,F
AAACD1234K,08SVDCK2205Y1Z2,Malabar Textile Impex,194J,INV/2026/0084,3479.47,34794.74,10.00,Q1 FY2026-27,F
AAACD1234K,29JVWCK5890R2ZQ,Vindhya Electro Trading Co,194H,INV/2026/0085,46347.95,2317397.60,2.00,Q1 FY2026-27,F
AAACD1234K,33OJCCT6193Z3ZU,Maa Foods Marketing Pvt Ltd,194C,INV/2026/0089,525.72,26286.26,2.00,Q1 FY2026-27,F
AAACD1234K,23RQNCN5702S3ZB,Lakshmi Chem Udyog Pvt Ltd,194C,INV/2026/0092,371850.09,3718500.99,10.00,Q1 FY2026-27,F
AAACD1234K,07ZCGCS0857F7Z2,Om Rubber & Sons,194H,INV/2026/0095,3544.93,70898.76,5.00,Q1 FY2026-27,F
AAACD1234K,29ELMCZ6248I8Z5,Anand Optics Udyog Pvt Ltd,194C,INV/2026/0096,6837.40,683740.29,1.00,Q1 FY2026-27,F
AAACD1234K,33OQECV0350U8ZM,Vindhya Rubber Agencies,194C,INV/2026/0097,622.55,31127.85,2.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194H,INV/2026/0099,2572.12,128606.22,2.00,Q1 FY2026-27,F
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0105,2083.53,104176.50,2.00,Q1 FY2026-27,F
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0105,10417.65,104176.50,10.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0106,5617.67,56176.79,10.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0106,5617.67,56176.79,10.00,Q1 FY2026-27,F
AAACD1234K,07TZHCZ0825E9ZM,Krishna Bearings Corporation,194C,INV/2026/0107,2189.39,109469.96,2.00,Q1 FY2026-27,F
AAACD1234K,08FLKCU4787K6ZF,Lakshmi Electro Trading Co,194C,INV/2026/0118,1085.53,54276.75,2.00,Q1 FY2026-27,F
AAACD1234K,36YESCR8127H4ZX,Sutlej Lubricants Marketing Pvt Ltd,194J,INV/2026/0121,4194.35,41943.57,10.00,Q1 FY2026-27,F
AAACD1234K,36YESCR8127H4ZX,Sutlej Lubricants Marketing Pvt Ltd,194J,INV/2026/0121,4194.35,41943.57,10.00,Q1 FY2026-27,F
AAACD1234K,24UICCE1878J9ZQ,Sri Cement Agencies,194J,INV/2026/0122,17415.07,174150.73,10.00,Q1 FY2026-27,F
AAACD1234K,23JKJCL5697G7ZK,Nav Agro Distributors Pvt Ltd,194H,INV/2026/0124,3062.69,30626.93,10.00,Q1 FY2026-27,F
AAACD1234K,36WMVCW5362W2ZA,Sutlej Fasteners Udyog Pvt Ltd,194J,INV/2026/0131,6502.45,65024.52,10.00,Q1 FY2026-27,F
AAACD1234K,24STICU7170S2ZZ,Anand Bearings Traders,194H,INV/2026/0132,21108.55,211085.58,10.00,Q1 FY2026-27,F
AAACD1234K,24YUJCG8707Z4ZZ,Lakshmi Foods Distributors Pvt Ltd,194C,INV/2026/0142,4668.70,233435.39,2.00,Q1 FY2026-27,F
AAACD1234K,24YUJCG8707Z4ZZ,Lakshmi Foods Distributors Pvt Ltd,194C,INV/2026/0143,20724.56,1036228.01,2.00,Q1 FY2026-27,F
