grn_no,invoice_no,buyer_id,sku,received_date,discrepancy_type,value_inr,debit_note_no
GRN-11115,INV/2026/0304,BUY-0036,BRG-6205,2026-05-05,shortage,1806.00,
GRN-19611,INV/2026/0271,BUY-0025,GI-PIPE-25,2026-05-05,quality_reject,170211.00,
GRN-22817,INV/2026/0082,BUY-0006,GLS-4MM,2026-04-18,shortage,3142.00,
GRN-30693,INV/2026/0061,BUY-0000,CR-SHEET-1MM,2026-04-25,quality_reject,53706.00,
GRN-32345,INV/2026/0377,BUY-0021,FSTN-M12,2026-05-21,quality_reject,26142.00,
GRN-44566,INV/2026/0161,BUY-0008,STRP-PET,2026-04-15,damage,4441.00,DN/488
GRN-65196,INV/2026/0044,BUY-0010,PPR-KRAFT,2026-04-20,shortage,9018.00,
GRN-66003,INV/2026/0348,BUY-0020,GLS-4MM,2026-06-06,shortage,4518.00,
GRN-76593,INV/2026/0230,BUY-0029,HDPE-GRAN,2026-05-30,quality_reject,1579.00,
GRN-80039,INV/2026/0098,BUY-0007,FSTN-M16,2026-06-07,shortage,10857.00,
GRN-99300,INV/2026/0253,BUY-0013,BRG-6305,2026-04-21,shortage,2818.00,
