scheme_id,buyer_id,period_start,period_end,slab_pct,min_volume_inr,achieved_volume_inr,sku_scope
SCH-0000,BUY-0000,2026-03-25,2026-06-20,2.50,3231538.92,1991609.13,ALL
SCH-0001,BUY-0001,2025-09-08,2026-01-14,1.00,1140895.92,3988112.08,ALL
SCH-0003,BUY-0003,2026-03-17,2026-08-30,2.00,2547119.46,4037056.55,ALL
SCH-0005,BUY-0005,2026-03-19,2026-08-17,2.00,5144506.26,11098084.51,ALL
SCH-0006,BUY-0006,2026-04-04,2026-08-22,2.00,5342351.85,10251135.34,ALL
SCH-0007,BUY-0007,2026-02-25,2026-07-14,5.00,20140195.30,28266978.19,ALL
SCH-0008,BUY-0008,2026-05-08,2026-08-27,5.00,6609993.60,15931800.06,ALL
SCH-0012,BUY-0012,2026-03-24,2026-05-06,2.50,15241921.48,8173106.23,ALL
SCH-0013,BUY-0013,2026-02-10,2026-06-22,2.50,8168163.09,11401676.52,ALL
SCH-0014,BUY-0014,2026-02-03,2026-06-21,2.00,3515542.39,4440873.69,ALL
SCH-0015,BUY-0015,2026-04-10,2026-06-05,3.00,10197448.68,4052983.36,ALL
SCH-0016,BUY-0016,2025-08-10,2026-03-10,2.50,8830906.95,31028965.90,ALL
SCH-0017,BUY-0017,2026-04-04,2026-06-28,5.00,4707827.64,8484961.69,ALL
SCH-0018,BUY-0018,2025-09-02,2026-01-19,1.50,3534411.32,7153832.21,ALL
SCH-0019,BUY-0019,2026-02-24,2026-06-13,1.50,32586076.66,15701134.13,ALL
SCH-0020,BUY-0020,2026-02-18,2026-05-30,1.50,1674664.56,5107248.57,ALL
SCH-0021,BUY-0021,2026-04-07,2026-07-26,5.00,7720879.46,13126015.53,ALL
SCH-0023,BUY-0023,2026-02-09,2026-07-19,5.00,8737239.32,10531313.86,ALL
SCH-0025,BUY-0025,2026-04-08,2026-06-17,2.00,16878734.82,6112663.70,ALL
SCH-0027,BUY-0027,2025-07-16,2026-01-17,2.50,12138301.70,27914102.25,ALL
SCH-0028,BUY-0028,2025-09-29,2026-02-20,5.00,3528159.97,7758998.46,ALL
SCH-0029,BUY-0029,2026-01-24,2026-07-01,1.50,1280991.61,3395897.21,ALL
SCH-0030,BUY-0030,2025-09-17,2026-03-12,5.00,9446427.84,14698014.95,ALL
SCH-0032,BUY-0032,2026-02-20,2026-06-15,1.00,1326931.82,1958347.42,ALL
SCH-0033,BUY-0033,2026-04-06,2026-06-23,1.00,16632372.65,6001345.00,ALL
SCH-0035,BUY-0035,2026-05-06,2026-06-26,2.00,6943185.24,2984781.01,ALL
SCH-0037,BUY-0037,2026-04-16,2026-06-29,5.00,40365744.91,13095280.40,ALL
SCH-0038,BUY-0038,2026-04-03,2026-06-18,2.50,370440.08,883259.89,ALL
SCH-0039,BUY-0039,2026-03-27,2026-05-31,1.00,20117248.15,7551303.58,ALL
